GameID,Game,BiP,TotalTime,BiPTT%,Temp,Hum,TotalBiP,TotalGameTime,PossessionT1,PossessionT2,Fouls,,,Median,Measure,Range
1,Russia v Saudi Arabia,57,96,59,17,43,00:57:18,01:36:48,00:22:54,00:34:24,32,,,,,
2,Egypt v Uruguay,64,97,66,14,42,01:04:15,01:37:21,00:27:39,00:36:36,18,,,,,
3,Morocco v Iran,45,98,46,25,37,00:45:57,01:38:07,00:29:11,00:16:46,36,,,,,
4,Portugal v Spain,58,95,61,24,74,00:58:48,01:35:58,00:22:18,00:36:32,22,,,,,
5,France v Australia,56,96,58,19,32,00:56:21,01:36:36,00:28:55,00:27:26,35,,,,,
6,Argentina v Iceland,62,92,67,22,33,01:02:48,01:36:11,00:45:11,00:17:37,25,,,,,
7,Peru v Denmark,53,98,54,18,48,00:53:23,01:38:10,00:27:45,00:25:38,28,,,,,
8,Croatia v Nigeria,55,96,57,20,64,00:55:14,01:36:04,00:29:27,00:25:47,36,,,,,
9,Brazil v Switzerland,62,98,63,25,27,01:02:25,01:38:57,00:32:46,00:29:39,31,,,,,
10,Costa Rica v Serbia,58,99,59,22,32,00:58:35,01:39:42,00:29:25,00:29:10,33,,,,,
11,Germany v Mexico,56,94,60,23,42,00:56:35,01:34:13,00:35:42,00:23:53,25,,,,,
12,Sweden v Korea,53,96,55,25,36,00:53:23,01:36:26,00:27:31,00:25:52,43,,,,,
13,Belgium v Panama,55,96,57,24,71,00:55:07,01:36:15,00:33:29,00:21:38,35,,,,,
14,Tunisia v England,49,97,51,24,17,00:49:49,01:37:17,00:20:08,00:29:31,22,,,,,
15,Poland v Senegal,55,96,57,27,40,00:55:06,01:36:36,00:34:11,00:23:53,23,,,,,
16,Colombia v Japan,59,96,61,27,38,00:59:02,01:36:12,00:24:19,00:34:43,24,,,,,
17,Russia v Egypt,53,94,56,15,83,00:53:36,01:34:14,00:25:11,00:28:25,21,,,,,
18,Uruguay v Saudi Arabia,60,96,63,32,26,01:00:53,01:36:07,00:28:44,00:32:09,23,,,,,
19,Portugal v Morocco,53,98,54,20,33,00:53:10,01:38:08,00:24:46,00:28:24,42,,,,,
20,Iran v Spain,53,97,55,18,48,00:53:07,01:37:17,00:17:19,00:38:08,28,,,,,
21,France v Peru,57,96,59,12,79,00:57:32,01:36:33,00:25:17,00:32:15,26,,,,,
22,Denmark v Australia,61,95,64,24,32,01:01:57,01:35:17,00:30:07,00:31:50,12,,,,,
23,Argentina v Croatia,52,96,54,17,49,00:52:59,01:36:15,00:30:38,00:22:21,38,,,,,
24,Nigeria v Iceland,53,98,54,32,19,00:53:23,01:38:37,00:30:48,00:22:23,19,,,,,
25,Brazil v Costa Rica,64,99,65,19,70,01:04:00,01:39:00,00:42:00,00:22:00,21,,,,,
26,Serbia v Switzerland,56,97,58,15,55,00:56:36,01:37:59,00:23:34,00:33:02,29,,,,,
27,Germany v Sweden,60,99,61,22,80,01:00:11,01:39:11,00:42:51,00:17:20,25,,,,,
28,Korea v Mexico,52,96,54,33,28,00:52:45,01:36:51,00:21:36,00:31:09,31,,,,,
29,Belgium v Tunisia,56,97,58,28,64,00:56:26,01:37:22,00:29:15,00:27:11,25,,,,,
30,England v Panama,54,97,56,30,33,00:54:43,01:37:34,00:31:32,00:23:11,27,,,,,
31,Poland v Colombia,57,99,58,26,58,00:57:41,01:39:13,00:26:06,00:31:36,25,,,,,
32,Japan v Senegal,51,95,54,25,38,00:51:57,01:35:02,00:27:58,00:23:59,22,,,,,
33,Uruguay v Russia,50,96,52,32,34,00:50:46,01:36:52,00:28:20,00:22:26,35,,,,,
34,Saudi Arabia v Egypt,61,102,60,35,24,01:01:29,01:42:14,00:37:46,00:23:43,23,,,,,
35,Iran v Portugal,50,100,50,23,70,00:50:24,01:40:21,00:16:14,00:33:43,27,,,,,
36,Spain v Morocco,57,99,58,15,70,00:57:57,01:39:00,00:39:26,00:18:31,22,,,,,
37,Denmark v France,61,95,64,24,34,01:01:13,01:35:42,00:23:14,00:37:59,20,,,,,
38,Australia v Peru,56,95,59,30,70,00:56:20,01:35:09,00:29:52,00:26:28,25,,,,,
39,Nigeria v Argentina,52,96,54,22,45,00:52:32,01:36:38,00:18:16,00:34:26,35,,,,,
40,Iceland v Croatia,51,96,53,30,38,00:51:01,01:36:19,00:20:51,00:30:10,22,,,,,
41,Serbia v Brazil,64,95,67,24,42,01:04:56,01:35:04,00:28:39,00:36:17,20,,,,,
42,Switzerland v Costa Rica,59,96,61,20,42,00:59:05,01:36:31,00:35:11,00:23:54,23,,,,,
43,Korea v Germany,62,102,61,28,40,01:02:25,01:42:26,00:19:02,00:43:23,23,,,,,
44,Mexico v Sweden,50,96,52,27,42,00:50:35,01:36:23,00:33:07,00:17:28,25,,,,,
45,England v Belgium,60,93,65,21,61,01:00:46,01:33:18,00:28:55,00:31:51,25,,,,,
46,Panama v Tunisia,54,99,55,20,60,00:54:08,01:39:39,00:19:34,00:34:34,37,,,,,
47,Japan v Poland,59,94,63,36,24,00:59:30,01:34:09,00:32:02,00:27:28,19,,,,,
48,Senegal v Colombia,50,97,52,27,34,00:50:10,01:37:08,00:21:41,00:28:29,30,,,,,
49,France v Argentina,54,96,56,28,33,00:54:51,01:36:59,00:22:25,00:32:26,36,,,,,
50,Uruguay v Portugal,57,98,58,27,74,00:57:20,01:38:07,00:22:11,00:35:09,26,,,,,
